tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2019-1103,Indian Wells 125K,Hard,64,C,20190225,300,203530,14,,Viktorija Golubic,R,,SUI,26.36002738,206108,,,Jennifer Brady,R,,USA,23.87405886,3-6 7-5 6-3,3,F,132,1,4,96,64,39,17,15,1,5,8,3,93,47,32,22,15,7,12,103,604,94,643
2019-1103,Indian Wells 125K,Hard,64,C,20190225,299,203530,14,,Viktorija Golubic,R,,SUI,26.36002738,202492,1,,Qiang Wang,R,,CHN,27.1156742,7-5 6-1,3,SF,100,0,7,75,50,35,11,10,5,6,6,2,83,50,31,13,9,11,15,103,604,18,2580
2019-1103,Indian Wells 125K,Hard,64,C,20190225,298,206108,,,Jennifer Brady,R,,USA,23.87405886,201610,11,,Zarina Diyas,R,,KAZ,25.35523614,6-3 6-3,3,SF,93,4,1,51,27,19,18,9,2,3,1,6,92,59,38,9,9,17,21,94,643,96,635
2019-1103,Indian Wells 125K,Hard,64,C,20190225,297,202492,1,,Qiang Wang,R,,CHN,27.1156742,201697,8,,Kristyna Pliskova,L,,CZE,26.93223819,6-4 6-4,3,QF,80,2,1,61,38,29,14,10,2,3,4,4,63,38,24,12,10,4,7,18,2580,90,673
2019-1103,Indian Wells 125K,Hard,64,C,20190225,296,203530,14,,Viktorija Golubic,R,,SUI,26.36002738,204427,6,,Sara Sorribes Tormo,R,,ESP,22.38193018,6-0 7-5,3,QF,96,0,1,61,41,24,10,9,7,10,0,4,60,37,15,8,9,4,11,103,604,79,750
2019-1103,Indian Wells 125K,Hard,64,C,20190225,295,201610,11,,Zarina Diyas,R,,KAZ,25.35523614,215371,,,Francesca Di Lorenzo,L,,USA,21.59616701,6-4 6-3,3,QF,94,0,0,54,41,29,8,10,0,1,0,2,70,41,26,12,9,7,10,96,635,179,320
2019-1103,Indian Wells 125K,Hard,64,C,20190225,294,206108,,,Jennifer Brady,R,,USA,23.87405886,202484,,,Nicole Gibbs,R,,USA,25.98220397,7-5 6-0,3,QF,70,2,0,49,28,23,11,9,0,1,0,3,58,38,16,9,9,2,7,94,643,139,436
2019-1103,Indian Wells 125K,Hard,64,C,20190225,293,202492,1,,Qiang Wang,R,,CHN,27.1156742,214906,,,Claire Liu,U,,USA,18.75427789,6-1 6-4,3,R16,87,2,3,53,30,18,13,8,1,3,1,1,72,47,22,10,9,11,17,18,2580,140,431
2019-1103,Indian Wells 125K,Hard,64,C,20190225,292,201697,8,,Kristyna Pliskova,L,,CZE,26.93223819,201529,,,Kristie Ahn,R,,USA,26.69678303,6-1 7-6(2),3,R16,84,9,0,60,38,29,14,10,3,4,0,2,62,41,27,8,9,6,9,90,673,196,298
2019-1103,Indian Wells 125K,Hard,64,C,20190225,291,203530,14,,Viktorija Golubic,R,,SUI,26.36002738,216083,,WC,Caty Mcnally,R,,USA,17.26488706,7-6(4) 6-1,3,R16,94,2,6,70,44,31,17,10,4,5,3,3,67,47,29,8,9,3,6,103,604,255,216
2019-1103,Indian Wells 125K,Hard,64,C,20190225,290,204427,6,,Sara Sorribes Tormo,R,,ESP,22.38193018,202468,10,,Jessica Pegula,R,,USA,25.00205339,6-2 6-2,3,R16,83,0,2,57,45,28,3,8,3,5,0,3,54,24,12,10,8,2,8,79,750,92,667
2019-1103,Indian Wells 125K,Hard,64,C,20190225,289,201610,11,,Zarina Diyas,R,,KAZ,25.35523614,201466,7,,Kaia Kanepi,R,181,EST,33.71115674,6-3 7-6(6),3,R16,98,0,3,76,54,38,8,10,3,5,1,3,72,32,18,24,11,5,9,96,635,86,696
2019-1103,Indian Wells 125K,Hard,64,C,20190225,288,215371,,,Francesca Di Lorenzo,L,,USA,21.59616701,201490,,,Timea Bacsinszky,R,,SUI,29.71663244,1-6 6-2 7-6(4),3,R16,167,0,5,86,59,32,13,13,5,11,0,3,107,65,41,16,14,11,17,179,320,114,535
2019-1103,Indian Wells 125K,Hard,64,C,20190225,287,202484,,,Nicole Gibbs,R,,USA,25.98220397,203501,9,,Taylor Townsend,L,,USA,22.86105407,6-1 6-1,3,R16,54,1,1,46,33,21,11,7,2,2,1,2,37,25,11,4,7,0,5,139,436,91,672
2019-1103,Indian Wells 125K,Hard,64,C,20190225,286,206108,,,Jennifer Brady,R,,USA,23.87405886,201590,2,,Alison Riske,R,,USA,28.64887064,6-3 7-6(4),3,R16,93,5,2,70,41,32,17,11,2,3,2,1,71,52,32,10,10,3,5,94,643,47,1170
2019-1103,Indian Wells 125K,Hard,64,C,20190225,285,202492,1,,Qiang Wang,R,,CHN,27.1156742,212001,,,Natalia Vikhlyantseva,R,,RUS,22.02327173,2-6 6-0 6-3,3,R32,101,1,3,72,42,30,15,11,8,11,1,8,78,43,24,16,12,5,11,18,2580,112,548
2019-1103,Indian Wells 125K,Hard,64,C,20190225,284,214906,,,Claire Liu,U,,USA,18.75427789,201605,13,,Mandy Minella,R,,LUX,33.25941136,6-2 3-6 6-1,3,R32,95,2,3,67,52,31,6,12,8,13,0,0,70,56,26,4,12,5,13,140,431,99,613
2019-1103,Indian Wells 125K,Hard,64,C,20190225,283,201697,8,,Kristyna Pliskova,L,,CZE,26.93223819,215337,,,Olga Danilovic,L,,SRB,18.08898015,2-6 7-5 7-5,3,R32,107,9,7,93,68,47,8,16,2,7,8,3,85,44,32,22,16,3,8,90,673,116,521
2019-1103,Indian Wells 125K,Hard,64,C,20190225,282,201529,,,Kristie Ahn,R,,USA,26.69678303,201514,16,,Sorana Cirstea,R,176,ROU,28.88706366,7-6(4) 3-6 6-3,3,R32,211,0,6,137,76,42,34,15,19,24,2,5,111,58,35,26,15,7,12,196,298,98,625
2019-1103,Indian Wells 125K,Hard,64,C,20190225,281,216083,,WC,Caty Mcnally,R,,USA,17.26488706,214304,3,,Vera Lapko,R,,BLR,20.40793977,6-2 6-4,3,R32,87,1,2,56,31,21,16,9,0,1,3,7,65,29,20,12,9,2,6,255,216,63,896
